region,rajon,fio,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11
Брестская,None,Лукашенко А.Г.,153538,979,152559,34587,114,,,34587,114,,152445
Брестская,None,Черечень С.В.,4393,99,4294,919,8,,,919,8,,4286
Брестская,None,Цепкало В.В.,16904,408,16496,3515,38,,,3515,38,,16458
Брестская,None,Бабарико В.Д.,30666,1027,29639,6366,99,211,34,6577,133,1401,28186
Брестская,None,Тихановская С.Г.,18269,541,17728,3845,115,66,15,3911,130,438,17192
Брестская,None,Канопацкая А.А.,679,37,642,148,6,,,148,6,,636
Брестская,None,Дмитриев А.В.,6467,355,6112,1312,65,13,7,1325,72,48,6011
Витебская,Витебский,Дмитриев А.В.,30,2,28,6,,,,6,,,28
Витебская,Октябрский в г. Витебске,Лукашенко А.Г.,10772,162,10610,2334,3,,,2334,3,,10607
Витебская,Дубровенский,Лукашенко А.Г.,3025,,3025,720,1,,,720,1,,3024
Витебская,Новополоцк,Лукашенко А.Г.,22857,58,22799,4563,7,,,4563,7,,22792
Витебская,Первомайский в г. Витебске,Лукашенко А.Г.,37665,228,37437,7488,14,,,7488,14,,37423
Витебская,Верхнедвинский,Лукашенко А.Г.,4841,43,4798,1207,3,,,1207,3,,4795
Витебская,Глубокский,Лукашенко А.Г.,5577,15,5562,1312,3,,,1312,3,,5559
Витебская,None,Лукашенко А.Г.,217367,1386,215981,46303,141,,,46303,141,,215840
Витебская,Браславский,Лукашенко А.Г.,6112,62,6050,1513,5,,,1513,5,,6045
Витебская,Первомайский в г. Витебске,Канопацкая А.А.,2198,19,2179,436,2,,,436,2,,2177
Витебская,Октябрский в г. Витебске,Бабарико В.Д.,4549,224,4325,952,5,,,952,5,,4320
Витебская,Россонский,Лукашенко А.Г.,2272,8,2264,566,3,,,566,3,,2261
Витебская,Октябрский в г. Витебске,Тихановская С.Г.,1682,11,1671,368,2,,,368,2,,1669
Витебская,Железнодорожный в г. Витебске,Лукашенко А.Г.,8357,119,8238,1648,10,,,1648,10,,8228
Витебская,Миорский,Лукашенко А.Г.,4180,12,4168,959,6,,,959,6,,4162
Витебская,Городокский,Лукашенко А.Г.,5965,59,5906,1358,11,,,1358,11,,5895
Витебская,Октябрский в г. Витебске,Дмитриев А.В.,548,28,520,114,1,,,114,1,,519
Витебская,Толочинский,Лукашенко А.Г.,5420,16,5404,1134,10,,,1134,10,,5394
Витебская,Полоцкий,Лукашенко А.Г.,18410,277,18133,3626,35,,,3626,35,,18098
Витебская,Полоцкий,Тихановская С.Г.,1209,16,1193,239,3,,,239,3,,1190
Витебская,Октябрский в г. Витебске,Канопацкая А.А.,1470,35,1435,316,4,,,316,4,,1431
Витебская,Железнодорожный в г. Витебске,Тихановская С.Г.,613,63,550,110,2,,,110,2,,548
Витебская,Полоцкий,Бабарико В.Д.,2756,31,2725,545,11,,,545,11,,2714
Витебская,Миорский,Бабарико В.Д.,456,4,452,103,3,,,103,3,,449
Витебская,Миорский,Цепкало В.В.,417,2,415,95,3,,,95,3,,412
Витебская,Верхнедвинский,Цепкало В.В.,121,2,119,30,1,,,30,1,,118
Витебская,None,Тихановская С.Г.,10976,148,10828,2278,102,,,2278,102,,10726
Витебская,Чашникский,Бабарико В.Д.,369,5,364,81,4,,,81,4,,360
Витебская,Первомайский в г. Витебске,Дмитриев А.В.,563,14,549,110,6,,,110,6,,543
Витебская,Поставский,Тихановская С.Г.,558,,558,140,8,,,140,8,,550
Витебская,Октябрский в г. Витебске,Черечень С.В.,951,38,913,201,12,,,201,12,,901
Витебская,Первомайский в г. Витебске,Черечень С.В.,1309,32,1277,256,16,,,256,256,,1261
Витебская,Первомайский в г. Витебске,Тихановская С.Г.,2385,12,2373,475,30,,,475,30,,2343
Витебская,Новополоцк,Цепкало В.В.,808,19,789,158,11,,,158,11,,778
Витебская,None,Канопацкая А.А.,7931,77,7854,1643,152,636,52,2279,204,,7650
Витебская,Глубокский,Цепкало В.В.,191,4,187,43,4,,,43,4,,183
Витебская,Новополоцк,Тихановская С.Г.,1686,22,1664,333,33,,,333,33,,1631
Витебская,Толочинский,Черечень С.В.,106,14,92,20,2,,,20,2,,90
Витебская,Браславский,Дмитриев А.В.,701,45,656,164,17,,,164,17,,639
Витебская,Глубокский,Тихановская С.Г.,755,7,748,176,19,,,176,19,,729
Витебская,None,Бабарико В.Д.,23952,781,23171,4771,491,1735,260,6506,751,11556,11495
Витебская,None,Цепкало В.В.,7574,143,7431,1562,174,567,86,2129,260,3765,3620
Витебская,Толочинский,Дмитриев А.В.,37,,37,8,1,,,8,1,,36
Витебская,Дубровенский,Черечень С.В.,68,,68,16,2,,,16,2,,66
Витебская,Новополоцк,Черечень С.В.,5942,378,5564,1121,143,,,1121,143,,5421
Витебская,Новополоцк,Бабарико В.Д.,3905,156,3749,752,97,,,752,97,,3652
