Дата подачи документов,"Лицо, имеющее намерение выдвинуться кандидатом в Президенты",Год рождения,"Должность (занятие), место работы (учебы)",Партийность,Место жительства,Руководитель инициативной группы
11.05.2020,ЖЕЛЕЗНЯКОВА Анжелика Николаевна,1967,временно не работает,беспартийная,"д. Климовичи, Минский р-н, Минская обл.",Железнякова Анжелика Николаевна
11.05.2020,МИЩЕНКО Вероника Евгеньевна,1968,индивидуальный предприниматель,беспартийная,"д. Солоное, Жлобинский р-н, Гомельская обл.",Троцкий Валентин Иванович
11.05.2020,ГРЕЧИШНИКОВ Александр Валерьевич,1976,индивидуальный предприниматель,беспартийный,г. Минск,Гречишников Александр Валерьевич
12.05.2020,ГАНЦЕВИЧ Юрий Михайлович,1976,"фермер, субъект агроэкотуризма усадьба «На воде»",беспартийный,"аг. Поколюбичи, Гомельский р-н, Гомельская обл.",Солощук Татьяна Михайловна
12.05.2020,ЗЕЛКОВСКИЙ Виталий Валентинович,1980,инженер-дизайнер,беспартийный,"г. Молодечно, Молодечненский р-н, Минская обл.",Зелковский Виталий Валентинович
13.05.2020,НИКОЛАЙЧИК Ольга Александровна,1968,временно не работает,беспартийная,г. Минск,Николайчик Ольга Александровна
13.05.2020,ХОТЕНКО Виктория Ивановна,1978,"операционная санитарка, УЗ «МОДКБ»",беспартийная,"г. Логойск, Логойский р-н, Минская обл.",Статкевич Николай Викторович
13.05.2020,КЛЕЩУК Игорь Иванович,1979,ремесленник,беспартийный,г. Минск,Фролов Валентин Сергеевич
13.05.2020,ФРОЛОВ Валентин Сергеевич,1983,индивидуальный предприниматель,беспартийный,"аг. Калатичи, Глусский р-н, Могилевская обл.",Сапрыгина Ева Сергеевна
13.05.2020,ВИШНЯКОВА Антонина Ивановна,1985,"раскройщик материалов, СЗАО «Отико»",беспартийная,г. Минск,Статкевич Николай Викторович
14.05.2020,ТИХАНОВСКИЙ Сергей Леонидович,1978,"директор, ОДО «Студия Компас»",беспартийный,"г. Гомель, Гомельская обл.",Тихановская Светлана Георгиевна
14.05.2020,ЛУКАШЕНКО Александр Григорьевич,1954,Президент Республики Беларусь,беспартийный,г. Минск,Орда Михаил Сергеевич
14.05.2020,НЕПОМНЯЩИХ Владимир Михайлович,1952,пенсионер,Объединенная гражданская партия,"г. Гомель, Гомельская обл.",Непомнящих Владимир Михайлович
14.05.2020,ГАЙДУКЕВИЧ Олег Сергеевич,1977,депутат Палаты представителей Национального собрания Республики Беларусь,Либеральнодемократическая партия,г. Минск,Чесалов Олег Юрьевич
14.05.2020,КИСЕЛЬ Наталья Алексеевна,1969,"заместитель директора, ЧТУП «Кисель В.В.»",беспартийная,г. Минск,Штода Сергей Викторович
14.05.2020,АШИХМИНА Елена Ивановна,1968,"помощник директора, ООО «Болсе», директор ООО «БелТехПодшипник»",беспартийная,г. Минск,Таберко Иван Иванович
14.05.2020,БЕРКУС Регина Робертовна,1959,пенсионер,беспартийная,"г. Лида Лидский р-н, Гродненская обл.",Статкевич Николай Викторович
